date,close,return_1d,sma5,sma20,sma50,ema12,ema26,rsi14,macd,macd_signal,atr14,volume_ratio20,roc20,drawdown_60,breakout_up20,breakout_down20,composite_score,prediction,future_return_5d,prediction_correct
20200826,100000.0,,,,,,,,,,,,,0.0,False,False,0,NEUTRAL,0.0,
20200831,100000.0,0.0,,,,,,,,,,,,0.0,False,False,0,NEUTRAL,0.0,
20200901,100000.0,0.0,,,,,,,,,,,,0.0,False,False,0,NEUTRAL,0.0,
20200902,100000.0,0.0,,,,,,,,,,,,0.0,False,False,0,NEUTRAL,0.0,
20200905,100000.0,0.0,100000.0,,,,,,,,,,,0.0,False,False,0,NEUTRAL,0.0,
20200906,100000.0,0.0,100000.0,,,,,,,,,,,0.0,False,False,0,NEUTRAL,0.0,
20200907,100000.0,0.0,100000.0,,,,,,,,,,,0.0,False,False,0,NEUTRAL,0.0,
20200908,100000.0,0.0,100000.0,,,,,,,,,,,0.0,False,False,0,NEUTRAL,0.0,
20200909,100000.0,0.0,100000.0,,,,,,,,,,,0.0,False,False,0,NEUTRAL,0.0,
20200912,100000.0,0.0,100000.0,,,,,,,,,,,0.0,False,False,0,NEUTRAL,0.0,
20200913,100000.0,0.0,100000.0,,,,,,,,,,,0.0,False,False,0,NEUTRAL,0.0,
20200914,100000.0,0.0,100000.0,,,100000.0,,,,,,,,0.0,False,False,0,NEUTRAL,0.0,
20200915,100000.0,0.0,100000.0,,,100000.0,,,,,,,,0.0,False,False,0,NEUTRAL,0.0,
20200916,100000.0,0.0,100000.0,,,100000.0,,,,,0.0,,,0.0,False,False,0,NEUTRAL,0.0,
20200919,100000.0,0.0,100000.0,,,100000.0,,100.0,,,0.0,,,0.0,False,False,-1,NEUTRAL,0.0,
20200920,100000.0,0.0,100000.0,,,100000.0,,100.0,,,0.0,,,0.0,False,False,-1,NEUTRAL,0.0,
20200921,100000.0,0.0,100000.0,,,100000.0,,100.0,,,0.0,,,0.0,False,False,-1,NEUTRAL,0.0,
20200922,100000.0,0.0,100000.0,,,100000.0,,100.0,,,0.0,,,0.0,False,False,-1,NEUTRAL,0.0,
20200923,100000.0,0.0,100000.0,,,100000.0,,100.0,,,0.0,,,0.0,False,False,-1,NEUTRAL,0.0,
20200926,100000.0,0.0,100000.0,100000.0,,100000.0,,100.0,,,0.0,,,0.0,False,False,-2,DOWN,0.0,False
20200927,100000.0,0.0,100000.0,100000.0,,100000.0,,100.0,,,0.0,,0.0,0.0,False,False,-2,DOWN,0.0,False
20200928,100000.0,0.0,100000.0,100000.0,,100000.0,,100.0,,,0.0,,0.0,0.0,False,False,-2,DOWN,0.0,False
20200929,100000.0,0.0,100000.0,100000.0,,100000.0,,100.0,,,0.0,,0.0,0.0,False,False,-2,DOWN,0.0,False
20200930,100000.0,0.0,100000.0,100000.0,,100000.0,,100.0,,,0.0,,0.0,0.0,False,False,-2,DOWN,0.0,False
20201003,100000.0,0.0,100000.0,100000.0,,100000.0,,100.0,,,0.0,,0.0,0.0,False,False,-2,DOWN,0.0,False
20201004,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,,0.0,,0.0,0.0,False,False,-3,DOWN,0.0,False
20201005,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,,0.0,,0.0,0.0,False,False,-3,DOWN,0.0,False
20201006,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,,0.0,,0.0,0.0,False,False,-3,DOWN,0.0,False
20201007,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,,0.0,,0.0,0.0,False,False,-3,DOWN,0.0,False
20201010,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,,0.0,,0.0,0.0,False,False,-3,DOWN,0.0,False
20201011,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,,0.0,,0.0,0.0,False,False,-3,DOWN,0.0,False
20201012,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,,0.0,,0.0,0.0,False,False,-3,DOWN,0.0,False
20201013,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,,0.0,,0.0,0.0,False,False,-3,DOWN,0.0,False
20201014,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-4,DOWN,0.0,False
20201018,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-4,DOWN,0.0,False
20201019,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-4,DOWN,0.0,False
20201020,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-4,DOWN,0.0,False
20201021,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-4,DOWN,0.0,False
20201024,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-4,DOWN,0.0,False
20201026,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-4,DOWN,0.0,False
20201027,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-4,DOWN,0.0,False
20201028,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-4,DOWN,0.0,False
20201031,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-4,DOWN,0.0,False
20201101,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-4,DOWN,0.0,False
20201102,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-4,DOWN,0.0,False
20201104,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-4,DOWN,0.0,False
20201107,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-4,DOWN,0.0,False
20201108,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-4,DOWN,0.0,False
20201109,100000.0,0.0,100000.0,100000.0,,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-4,DOWN,0.0,False
20201110,100000.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-5,DOWN,0.0,False
20201111,100000.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-5,DOWN,0.0,False
20201114,100000.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-5,DOWN,0.0,False
20201115,100000.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-5,DOWN,0.0,False
20201116,100000.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-5,DOWN,0.0,False
20201117,100000.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-5,DOWN,0.0,False
20201118,100000.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-5,DOWN,0.0,False
20201121,100000.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-5,DOWN,0.0,False
20201122,100000.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-5,DOWN,0.0,False
20201123,100000.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-5,DOWN,0.0,False
20201124,100000.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-5,DOWN,0.13739999999999997,False
20201125,100000.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100.0,0.0,0.0,0.0,,0.0,0.0,False,False,-5,DOWN,0.06170000000000009,False
